ID_Mahasiswa,Pendapatan_Ortu,Tanggungan_Keluarga,Pekerjaan_Ortu,Kepemilikan_Rumah,Tagihan_Listrik,Kendaraan,Nilai_IPK,Beasiswa,Kategori_UKT
M0001,16594478,6,Petani,Kontrak,534282,Motor,3.82,Tidak,UKT 6
M0002,13815092,2,Swasta,Menumpang,510014,Motor,3.57,Tidak,UKT 6
M0003,2734489,4,Swasta,Menumpang,497415,Tidak Ada,2.97,Tidak,UKT 1
M0004,15086186,2,Wiraswasta,Milik Sendiri,567039,Motor,3.89,Tidak,UKT 6
M0005,10128519,5,Petani,Rumah Dinas,571396,Motor,2.11,Tidak,UKT 4
M0006,11026850,1,Swasta,Rumah Dinas,155686,Motor+Mobil,3.86,Tidak,UKT 6
M0007,7904852,1,PNS,Kontrak,662439,Motor,2.1,Tidak,UKT 4
M0008,5481505,4,Swasta,Menumpang,315471,Motor,3.09,Ya,UKT 2
M0009,14453367,1,Swasta,Milik Sendiri,694606,Motor,3.78,Tidak,UKT 6
M0010,19044107,1,Swasta,Milik Sendiri,537602,Mobil,2.53,Tidak,UKT 6
M0011,5021373,4,Petani,Menumpang,690233,Motor,2.94,Ya,UKT 2
M0012,6519877,6,Petani,Milik Sendiri,263456,Motor,2.65,Tidak,UKT 2
M0013,3844769,6,Petani,Rumah Dinas,358974,Motor+Mobil,3.9,Tidak,UKT 1
M0014,9680351,4,Wiraswasta,Menumpang,102446,Tidak Ada,3.65,Tidak,UKT 4
M0015,603355,5,Wiraswasta,Milik Sendiri,458376,Mobil,3.42,Ya,UKT 1
M0016,16464436,1,Wiraswasta,Menumpang,477214,Tidak Ada,3.18,Tidak,UKT 6
M0017,1762752,1,Tidak Bekerja,Milik Sendiri,190148,Mobil,3.64,Tidak,UKT 1
M0018,10284633,5,PNS,Kontrak,643629,Motor,2.78,Tidak,UKT 4
M0019,6164789,6,PNS,Kontrak,81085,Motor,2.9,Tidak,UKT 2
M0020,10195979,3,PNS,Menumpang,367715,Mobil,3.46,Tidak,UKT 5
M0021,9805648,3,Petani,Milik Sendiri,457931,Tidak Ada,2.72,Tidak,UKT 5
M0022,6243066,3,Wiraswasta,Milik Sendiri,574006,Motor,2.13,Ya,UKT 2
M0023,11142490,6,Swasta,Kontrak,440452,Motor,2.15,Tidak,UKT 5
M0024,6613790,6,Tidak Bekerja,Kontrak,55750,Motor,2.23,Tidak,UKT 2
M0025,13737723,5,PNS,Kontrak,390912,Motor,3.74,Tidak,UKT 6
M0026,13148637,1,Tidak Bekerja,Milik Sendiri,561760,Tidak Ada,2.94,Tidak,UKT 6
M0027,17361870,5,Swasta,Milik Sendiri,85903,Tidak Ada,3.43,Ya,UKT 6
M0028,5647581,5,PNS,Milik Sendiri,253561,Tidak Ada,2.79,Ya,UKT 2
M0029,19231570,6,Swasta,Rumah Dinas,665324,Tidak Ada,2.52,Tidak,UKT 6
M0030,2928388,3,Swasta,Milik Sendiri,662242,Motor,2.69,Tidak,UKT 1
M0031,3163046,2,Swasta,Milik Sendiri,562493,Mobil,3.59,Tidak,UKT 2
M0032,11459014,1,Swasta,Menumpang,477530,Motor+Mobil,3.25,Tidak,UKT 6
M0033,15846051,6,Wiraswasta,Milik Sendiri,491441,Mobil,3.88,Ya,UKT 6
M0034,3885357,3,Petani,Menumpang,478395,Tidak Ada,3.36,Tidak,UKT 2
M0035,16433681,2,Swasta,Kontrak,691593,Motor,3.14,Tidak,UKT 6
M0036,11684121,2,Petani,Rumah Dinas,555633,Tidak Ada,3.22,Tidak,UKT 6
M0037,1965689,6,Wiraswasta,Milik Sendiri,468554,Motor,3.88,Tidak,UKT 1
M0038,17345364,4,Swasta,Milik Sendiri,535651,Motor,3.58,Tidak,UKT 6
M0039,19102881,1,Swasta,Kontrak,250753,Tidak Ada,2.05,Tidak,UKT 6
M0040,11892366,2,PNS,Rumah Dinas,82101,Motor,3.07,Tidak,UKT 6
M0041,15858907,6,PNS,Kontrak,52775,Motor+Mobil,3.38,Tidak,UKT 6
M0042,3169995,6,Petani,Milik Sendiri,685785,Motor,3.5,Tidak,UKT 1
M0043,13339420,3,PNS,Rumah Dinas,540399,Motor,2.43,Ya,UKT 6
M0044,13979854,4,Petani,Rumah Dinas,95619,Tidak Ada,3.73,Ya,UKT 6
M0045,6897986,1,Wiraswasta,Kontrak,302388,Motor,3.91,Ya,UKT 3
M0046,13687277,5,PNS,Rumah Dinas,462755,Mobil,2.47,Tidak,UKT 6
M0047,2370928,3,Petani,Rumah Dinas,115149,Tidak Ada,3.77,Tidak,UKT 1
M0048,4655299,2,Swasta,Kontrak,76616,Motor,2.19,Tidak,UKT 2
M0049,11446097,2,Tidak Bekerja,Milik Sendiri,235639,Tidak Ada,2.11,Tidak,UKT 6
M0050,14591261,3,Swasta,Milik Sendiri,256903,Motor,2.26,Tidak,UKT 6
M0051,19582629,6,Wiraswasta,Milik Sendiri,281318,Tidak Ada,2.12,Tidak,UKT 6
M0052,771836,2,Petani,Milik Sendiri,402365,Mobil,3.69,Ya,UKT 1
M0053,4084702,4,PNS,Milik Sendiri,337623,Mobil,2.12,Tidak,UKT 2
M0054,7781369,1,Petani,Milik Sendiri,411309,Mobil,2.54,Tidak,UKT 4
M0055,19576651,4,Tidak Bekerja,Milik Sendiri,105863,Motor,2.21,Tidak,UKT 6
M0056,9085377,2,Petani,Milik Sendiri,223115,Mobil,2.59,Tidak,UKT 5
M0057,19935721,5,Wiraswasta,Rumah Dinas,545654,Motor,2.18,Tidak,UKT 6
M0058,18548957,1,Wiraswasta,Menumpang,553323,Motor,3.34,Tidak,UKT 6
M0059,18324013,1,Swasta,Milik Sendiri,458624,Motor,2.27,Tidak,UKT 6
M0060,3547262,3,Swasta,Menumpang,328495,Tidak Ada,3.7,Tidak,UKT 2
M0061,11473639,3,Petani,Kontrak,185203,Tidak Ada,3.63,Ya,UKT 5
M0062,1064685,5,Swasta,Milik Sendiri,297908,Mobil,2.03,Tidak,UKT 1
M0063,3379190,6,Wiraswasta,Milik Sendiri,242003,Motor,3.79,Tidak,UKT 1
M0064,1507293,1,Tidak Bekerja,Kontrak,547599,Motor,2.06,Ya,UKT 1
M0065,3866612,5,Swasta,Rumah Dinas,324597,Motor,2.48,Tidak,UKT 1
M0066,3204238,3,Swasta,Kontrak,651982,Mobil,2.06,Tidak,UKT 1
M0067,3130708,3,Wiraswasta,Milik Sendiri,590023,Motor+Mobil,2.67,Tidak,UKT 1
M0068,3994679,1,Swasta,Milik Sendiri,619354,Mobil,3.03,Tidak,UKT 2
M0069,19044856,4,Wiraswasta,Milik Sendiri,184445,Motor,3.59,Tidak,UKT 6
M0070,16106139,2,Swasta,Milik Sendiri,453551,Tidak Ada,2.68,Tidak,UKT 6
M0071,11502348,3,Petani,Milik Sendiri,619829,Motor,3.41,Ya,UKT 5
M0072,1785160,6,PNS,Milik Sendiri,215129,Tidak Ada,2.38,Ya,UKT 1
M0073,5673036,6,Petani,Rumah Dinas,641271,Tidak Ada,3.5,Ya,UKT 1
M0074,18702688,3,Swasta,Menumpang,203837,Motor,2.47,Tidak,UKT 6
M0075,548984,4,Petani,Milik Sendiri,227597,Motor,2.29,Tidak,UKT 1
M0076,11288678,4,PNS,Menumpang,462736,Motor+Mobil,2.37,Tidak,UKT 5
M0077,7056168,5,Wiraswasta,Milik Sendiri,528454,Motor,2.36,Tidak,UKT 3
M0078,18781600,6,Wiraswasta,Milik Sendiri,495150,Motor,3.03,Tidak,UKT 6
M0079,15116555,5,Swasta,Milik Sendiri,337710,Tidak Ada,3.69,Tidak,UKT 6
M0080,19508135,6,PNS,Kontrak,546440,Motor+Mobil,2.16,Tidak,UKT 6
M0081,13219242,2,PNS,Menumpang,473350,Mobil,3.41,Tidak,UKT 6
M0082,15660818,2,Petani,Kontrak,453561,Mobil,3.31,Tidak,UKT 6
M0083,16530288,1,Petani,Milik Sendiri,695303,Motor+Mobil,3.75,Tidak,UKT 6
M0084,2237095,5,Petani,Kontrak,222257,Motor,2.49,Tidak,UKT 1
M0085,10999746,3,Swasta,Milik Sendiri,274021,Motor,2.9,Tidak,UKT 5
M0086,5280450,5,Swasta,Menumpang,645032,Motor,3.85,Ya,UKT 1
M0087,19387034,3,Petani,Kontrak,345599,Motor,3.32,Tidak,UKT 6
M0088,16529444,4,Swasta,Milik Sendiri,558433,Motor,2.78,Tidak,UKT 6
M0089,19509001,5,Tidak Bekerja,Kontrak,366363,Motor,2.26,Tidak,UKT 6
M0090,11836697,4,PNS,Kontrak,647904,Motor+Mobil,2.52,Tidak,UKT 5
M0091,4353339,2,Petani,Milik Sendiri,661726,Motor+Mobil,3.16,Tidak,UKT 2
M0092,16513446,2,Swasta,Kontrak,166841,Mobil,3.44,Tidak,UKT 6
M0093,18273323,1,Swasta,Milik Sendiri,219934,Mobil,2.25,Tidak,UKT 6
M0094,12410049,5,Wiraswasta,Kontrak,633158,Motor,3.2,Tidak,UKT 5
M0095,7630144,4,Petani,Rumah Dinas,136694,Tidak Ada,3.1,Tidak,UKT 3
M0096,5045583,3,Tidak Bekerja,Rumah Dinas,287068,Tidak Ada,3.03,Tidak,UKT 2
M0097,16093974,2,PNS,Kontrak,151407,Motor,3.38,Tidak,UKT 6
M0098,8488004,2,PNS,Kontrak,543960,Mobil,3.67,Tidak,UKT 4
M0099,13572482,3,Wiraswasta,Milik Sendiri,605667,Tidak Ada,2.65,Ya,UKT 6
M0100,6015989,4,Petani,Rumah Dinas,471594,Motor+Mobil,3.78,Tidak,UKT 3
M0101,19398906,4,Swasta,Milik Sendiri,286500,Tidak Ada,2.32,Tidak,UKT 6
M0102,15381728,5,PNS,Milik Sendiri,628641,Motor,2.35,Tidak,UKT 6
M0103,991234,5,PNS,Milik Sendiri,261144,Motor,2.53,Ya,UKT 1
M0104,10836868,6,Wiraswasta,Milik Sendiri,640270,Tidak Ada,2.24,Ya,UKT 4
M0105,13222094,6,PNS,Kontrak,86683,Tidak Ada,2.46,Ya,UKT 5
M0106,10409709,1,Swasta,Milik Sendiri,164091,Motor,2.21,Ya,UKT 5
M0107,13266976,2,Swasta,Kontrak,167797,Mobil,3.64,Tidak,UKT 6
M0108,13296932,5,Swasta,Milik Sendiri,460834,Motor,2.28,Tidak,UKT 6
M0109,7414550,4,PNS,Milik Sendiri,580875,Motor,3.49,Tidak,UKT 3
M0110,7406726,3,Petani,Kontrak,374934,Motor,2.1,Tidak,UKT 3
M0111,6388794,4,PNS,Milik Sendiri,343624,Tidak Ada,3.9,Tidak,UKT 3
M0112,7010425,2,Wiraswasta,Milik Sendiri,335713,Motor+Mobil,3.42,Tidak,UKT 4
M0113,9011017,6,Swasta,Kontrak,514310,Tidak Ada,2.01,Tidak,UKT 4
M0114,8387739,4,Petani,Milik Sendiri,240246,Motor+Mobil,3.53,Ya,UKT 3
M0115,1269598,1,Wiraswasta,Rumah Dinas,619027,Motor,3.03,Tidak,UKT 1
M0116,15952902,2,Petani,Milik Sendiri,607242,Motor+Mobil,3.56,Tidak,UKT 6
M0117,8471379,6,Petani,Milik Sendiri,159373,Tidak Ada,3.04,Ya,UKT 3
M0118,3831068,3,Swasta,Kontrak,608988,Motor,3.28,Tidak,UKT 2
M0119,3756415,6,Swasta,Milik Sendiri,173728,Tidak Ada,3.57,Tidak,UKT 1
M0120,1374371,1,Petani,Milik Sendiri,645333,Tidak Ada,2.81,Tidak,UKT 1
M0121,6154237,2,Tidak Bekerja,Milik Sendiri,481058,Motor,2.01,Tidak,UKT 3
M0122,12761606,3,Petani,Milik Sendiri,576169,Motor,3.7,Ya,UKT 6
M0123,18250764,1,Petani,Rumah Dinas,438227,Motor,2.76,Tidak,UKT 6
M0124,3844014,6,Wiraswasta,Milik Sendiri,138059,Tidak Ada,2.99,Tidak,UKT 1
M0125,10102083,1,Swasta,Rumah Dinas,492136,Motor,2.02,Tidak,UKT 5
M0126,3459034,2,PNS,Menumpang,683676,Mobil,2.98,Ya,UKT 1
M0127,543585,5,Petani,Milik Sendiri,248303,Motor,3.97,Tidak,UKT 1
M0128,15244108,1,Tidak Bekerja,Menumpang,561162,Motor,2.56,Tidak,UKT 6
M0129,3039448,1,PNS,Milik Sendiri,523573,Motor,2.79,Tidak,UKT 2
M0130,17386772,6,Petani,Menumpang,315406,Mobil,3.37,Tidak,UKT 6
M0131,18852773,6,Swasta,Milik Sendiri,379125,Motor,3.63,Tidak,UKT 6
M0132,15143995,3,Petani,Kontrak,131972,Motor,2.83,Tidak,UKT 6
M0133,11011699,6,PNS,Milik Sendiri,387629,Motor+Mobil,2.62,Tidak,UKT 5
M0134,8806461,4,Swasta,Milik Sendiri,104722,Mobil,3.88,Tidak,UKT 4
M0135,2509021,2,Wiraswasta,Kontrak,231890,Motor,3.35,Tidak,UKT 1
M0136,1701482,2,Swasta,Kontrak,319045,Motor,2.24,Ya,UKT 1
M0137,17819551,5,Petani,Milik Sendiri,167473,Mobil,2.14,Ya,UKT 6
M0138,12322585,5,Wiraswasta,Milik Sendiri,542239,Motor,2.97,Tidak,UKT 5
M0139,2984413,2,Tidak Bekerja,Kontrak,320741,Tidak Ada,2.44,Tidak,UKT 1
M0140,3407360,5,Swasta,Kontrak,441775,Tidak Ada,2.51,Tidak,UKT 1
M0141,6395544,3,Swasta,Menumpang,573260,Mobil,3.76,Tidak,UKT 3
M0142,2735000,6,PNS,Rumah Dinas,375437,Motor,2.18,Tidak,UKT 1
M0143,4822252,2,Tidak Bekerja,Menumpang,206877,Mobil,3.43,Ya,UKT 2
M0144,6322184,5,Tidak Bekerja,Kontrak,534895,Motor,2.54,Ya,UKT 2
M0145,902690,2,Petani,Milik Sendiri,586162,Motor,3.52,Ya,UKT 1
M0146,3048421,4,Wiraswasta,Milik Sendiri,493066,Tidak Ada,3.44,Tidak,UKT 1
M0147,13104871,1,Petani,Rumah Dinas,384923,Tidak Ada,2.01,Tidak,UKT 6
M0148,12695226,6,Petani,Kontrak,669696,Motor+Mobil,3.02,Ya,UKT 5
M0149,14881704,2,PNS,Milik Sendiri,694894,Mobil,2.28,Tidak,UKT 6
M0150,2454109,1,Wiraswasta,Milik Sendiri,170062,Motor,3.73,Ya,UKT 1
M0151,14921668,5,PNS,Menumpang,62100,Motor,3.74,Tidak,UKT 6
M0152,12001362,1,Wiraswasta,Kontrak,369165,Motor,2.84,Tidak,UKT 6
M0153,16766473,6,Wiraswasta,Milik Sendiri,440270,Motor,2.89,Tidak,UKT 6
M0154,7705547,2,Wiraswasta,Milik Sendiri,244472,Motor,2.61,Tidak,UKT 4
M0155,8823735,4,PNS,Milik Sendiri,284196,Tidak Ada,3.43,Tidak,UKT 4
M0156,18661466,5,Swasta,Milik Sendiri,257609,Motor,2.72,Tidak,UKT 6
M0157,12914325,2,Swasta,Milik Sendiri,333006,Mobil,2.54,Tidak,UKT 6
M0158,561087,6,Swasta,Milik Sendiri,323813,Motor+Mobil,2.86,Tidak,UKT 1
M0159,14096255,5,PNS,Rumah Dinas,323022,Tidak Ada,2.18,Tidak,UKT 6
M0160,15165175,3,Tidak Bekerja,Milik Sendiri,541121,Mobil,3.49,Tidak,UKT 6
M0161,18773392,1,Petani,Rumah Dinas,254720,Motor,2.03,Tidak,UKT 6
M0162,10774621,6,Swasta,Menumpang,615523,Motor,3.29,Tidak,UKT 4
M0163,13522704,3,Swasta,Milik Sendiri,331075,Tidak Ada,2.37,Ya,UKT 6
M0164,17316569,2,Swasta,Kontrak,142876,Motor,2.46,Tidak,UKT 6
M0165,6984531,4,Petani,Milik Sendiri,574624,Motor,3.27,Tidak,UKT 3
M0166,8154909,5,Petani,Menumpang,357680,Motor,3.99,Tidak,UKT 3
M0167,4759622,1,Tidak Bekerja,Milik Sendiri,643792,Mobil,3.56,Tidak,UKT 3
M0168,6225570,5,Swasta,Kontrak,673502,Mobil,2.45,Tidak,UKT 2
M0169,17694096,2,Tidak Bekerja,Kontrak,232220,Motor,2.35,Tidak,UKT 6
M0170,15921040,5,Wiraswasta,Milik Sendiri,163936,Motor+Mobil,3.73,Tidak,UKT 6
M0171,5465050,1,Swasta,Milik Sendiri,66279,Motor,2.89,Tidak,UKT 3
M0172,1313168,2,Tidak Bekerja,Kontrak,249737,Motor,2.27,Tidak,UKT 1
M0173,725281,5,PNS,Kontrak,153751,Motor,3.72,Tidak,UKT 1
M0174,12006305,4,Wiraswasta,Milik Sendiri,416577,Tidak Ada,3.63,Tidak,UKT 6
M0175,8234102,6,Swasta,Kontrak,121386,Motor,3.97,Tidak,UKT 3
M0176,6174719,2,Wiraswasta,Milik Sendiri,136124,Motor,3.82,Tidak,UKT 3
M0177,9158144,6,Wiraswasta,Kontrak,417894,Tidak Ada,3.7,Ya,UKT 3
M0178,7109280,2,Wiraswasta,Milik Sendiri,386199,Mobil,2.11,Tidak,UKT 4
M0179,4872093,4,Wiraswasta,Menumpang,141911,Motor,2.21,Tidak,UKT 2
M0180,18838945,6,Swasta,Milik Sendiri,520489,Motor,3.14,Tidak,UKT 6
M0181,11111417,3,PNS,Milik Sendiri,497244,Tidak Ada,3.06,Ya,UKT 5
M0182,5978047,1,Swasta,Milik Sendiri,271094,Motor,2.92,Tidak,UKT 3
M0183,1619043,3,PNS,Milik Sendiri,426036,Motor,2.79,Ya,UKT 1
M0184,12218070,5,Petani,Kontrak,287723,Mobil,2.86,Tidak,UKT 5
M0185,16851434,4,Swasta,Milik Sendiri,383272,Motor,3.14,Ya,UKT 6
M0186,11095511,3,Tidak Bekerja,Rumah Dinas,461324,Tidak Ada,2.0,Tidak,UKT 5
M0187,14512538,2,Petani,Milik Sendiri,132806,Motor,2.52,Tidak,UKT 6
M0188,7603230,5,Wiraswasta,Milik Sendiri,280097,Tidak Ada,3.04,Tidak,UKT 3
M0189,3058231,5,PNS,Milik Sendiri,247478,Motor,3.44,Tidak,UKT 1
M0190,7159908,3,Wiraswasta,Milik Sendiri,537436,Motor,2.35,Ya,UKT 3
M0191,3580389,3,Tidak Bekerja,Milik Sendiri,361793,Motor+Mobil,3.09,Tidak,UKT 2
M0192,2161909,4,Swasta,Milik Sendiri,539709,Tidak Ada,3.43,Tidak,UKT 1
M0193,19933354,1,Petani,Milik Sendiri,487585,Motor,2.89,Tidak,UKT 6
M0194,17387294,3,Wiraswasta,Milik Sendiri,282204,Tidak Ada,2.05,Tidak,UKT 6
M0195,19192847,3,PNS,Kontrak,407546,Motor,2.9,Tidak,UKT 6
M0196,6814127,6,Petani,Kontrak,490980,Motor,2.59,Ya,UKT 2
M0197,10292712,2,Swasta,Milik Sendiri,231871,Motor+Mobil,3.86,Tidak,UKT 5
M0198,2508187,6,PNS,Milik Sendiri,391558,Motor,2.25,Tidak,UKT 1
M0199,2159066,6,Swasta,Menumpang,548512,Tidak Ada,3.3,Tidak,UKT 1
M0200,2648815,5,PNS,Kontrak,405239,Motor,2.11,Tidak,UKT 1
M0201,7855740,1,PNS,Kontrak,646595,Tidak Ada,2.89,Tidak,UKT 4
M0202,6904003,2,PNS,Milik Sendiri,525278,Tidak Ada,3.11,Tidak,UKT 3
M0203,4635314,4,Tidak Bekerja,Rumah Dinas,344067,Motor,2.6,Ya,UKT 1
M0204,1410681,4,Petani,Rumah Dinas,429593,Tidak Ada,2.91,Tidak,UKT 1
M0205,18884834,3,Tidak Bekerja,Kontrak,544955,Tidak Ada,2.33,Ya,UKT 6
M0206,10921958,3,Swasta,Menumpang,285998,Mobil,2.61,Ya,UKT 5
M0207,11200595,4,Swasta,Milik Sendiri,521604,Motor,3.24,Tidak,UKT 5
M0208,13484808,3,Petani,Milik Sendiri,486607,Tidak Ada,2.6,Tidak,UKT 6
M0209,15264960,1,Swasta,Rumah Dinas,696045,Motor,3.8,Tidak,UKT 6
M0210,17348511,6,PNS,Rumah Dinas,627952,Motor,3.26,Ya,UKT 6
M0211,9632582,3,Petani,Milik Sendiri,346629,Motor,2.88,Tidak,UKT 5
M0212,8113287,5,Swasta,Milik Sendiri,309438,Motor,2.08,Tidak,UKT 3
M0213,16885802,3,Petani,Milik Sendiri,200528,Tidak Ada,3.0,Tidak,UKT 6
M0214,4112600,2,Petani,Milik Sendiri,518011,Motor,3.53,Tidak,UKT 2
M0215,18103032,1,PNS,Rumah Dinas,347698,Motor,2.53,Tidak,UKT 6
M0216,12605878,2,PNS,Kontrak,359066,Motor,3.61,Tidak,UKT 6
M0217,10745534,2,Wiraswasta,Milik Sendiri,325553,Mobil,2.5,Tidak,UKT 5
M0218,10547453,5,Swasta,Milik Sendiri,348783,Motor,3.65,Tidak,UKT 5
M0219,2526793,1,PNS,Milik Sendiri,281182,Motor,2.17,Tidak,UKT 2
M0220,1054594,1,Tidak Bekerja,Milik Sendiri,506843,Motor,3.73,Ya,UKT 1
M0221,9036326,1,PNS,Kontrak,139037,Motor,3.0,Tidak,UKT 5
M0222,16537627,1,Petani,Menumpang,238487,Tidak Ada,2.59,Tidak,UKT 6
M0223,13728175,1,Tidak Bekerja,Rumah Dinas,68074,Tidak Ada,2.53,Ya,UKT 6
M0224,2704664,5,Swasta,Milik Sendiri,342107,Mobil,2.86,Ya,UKT 1
M0225,4841747,3,PNS,Menumpang,534672,Motor,4.0,Tidak,UKT 2
M0226,13456528,2,PNS,Rumah Dinas,626553,Motor,2.44,Ya,UKT 6
M0227,17964192,1,Swasta,Rumah Dinas,66061,Motor,2.21,Tidak,UKT 6
M0228,19749405,3,PNS,Milik Sendiri,501442,Motor,3.17,Tidak,UKT 6
M0229,15987428,3,Petani,Milik Sendiri,209882,Tidak Ada,2.98,Tidak,UKT 6
M0230,9006404,2,PNS,Milik Sendiri,503222,Mobil,3.05,Ya,UKT 4
M0231,1741082,5,Petani,Milik Sendiri,687790,Tidak Ada,3.33,Tidak,UKT 1
M0232,5684502,4,Tidak Bekerja,Milik Sendiri,334944,Mobil,2.53,Tidak,UKT 2
M0233,13781288,4,Wiraswasta,Milik Sendiri,428336,Mobil,3.82,Tidak,UKT 6
M0234,13003247,3,Petani,Milik Sendiri,552175,Mobil,2.87,Tidak,UKT 6
M0235,18856375,6,Swasta,Kontrak,306505,Motor,2.26,Tidak,UKT 6
M0236,6541495,6,Petani,Milik Sendiri,681516,Tidak Ada,3.48,Tidak,UKT 2
M0237,18069187,2,Petani,Milik Sendiri,256548,Motor,3.29,Tidak,UKT 6
M0238,1001157,4,Swasta,Menumpang,512676,Motor,2.63,Tidak,UKT 1
M0239,11502109,3,PNS,Menumpang,500983,Motor,3.24,Tidak,UKT 6
M0240,6446594,5,Wiraswasta,Rumah Dinas,518535,Mobil,2.44,Ya,UKT 2
M0241,11810552,4,Swasta,Menumpang,546005,Motor,2.89,Tidak,UKT 5
M0242,11971761,3,PNS,Kontrak,63233,Motor,3.8,Tidak,UKT 6
M0243,3404941,3,Swasta,Menumpang,533236,Motor,2.27,Tidak,UKT 1
M0244,8483441,1,Swasta,Milik Sendiri,382597,Motor,2.77,Tidak,UKT 4
M0245,5820385,5,Wiraswasta,Milik Sendiri,678423,Motor,3.64,Tidak,UKT 2
M0246,19377237,1,Wiraswasta,Milik Sendiri,469048,Mobil,3.94,Tidak,UKT 6
